ItemCode,ItemName
C011400001,8050L สีน้ำเงิน ฝาลัง
C011500001,8050+8050L สีน้ำเงิน ลังโปร่งพับได้พร้อมฝา
C011300005,2544 สีน้ำเงิน ลังโปร่งพับได้
C011300009,9540 สีน้ำเงิน ลังทึบพับได้
C011500003,9540+9550L สีน้ำเงิน ลังทึบพับได้พร้อมฝา
C011300015,8075 สีน้ำเงิน ลังทึบพับได้
C011500002,8075+8050L สีน้ำเงิน ลังทึบพับได้พร้อมฝา
C011300013,9550 สีน้ำเงิน ลังทึบพับได้
C011400003,9550L สีน้ำเงิน ฝาลัง
C011500004,9550+9550L สีน้ำเงิน ลังทึบพับได้พร้อมฝา
C011300021,2556 สีฟ้า ลังทึบพับได้
C011300027,3626 สีใส ลังพลาสติกพับได้
C011500010,3626LID สีใส ลังพลาสติกพับได้ พร้อมฝา
C011300033,5325-F  สีใส ลังพลาสติกพับได้
C011500012,5325LID-F สีใส ลังพลาสติกพับได้ พร้อมฝา
C011300028,5336-F  สีใส ลังพลาสติกพับได้
C011500011,5336LID-F สีใส ลังพลาสติกพับได้ พร้อมฝา
C011300032,6544-F สีใส ลังพลาสติกพับได้
C011500007,6544LID-F สีใส ลังพลาสติกพับได้ พร้อมฝา
C011300030,5336-L สีใส ลังพลาสติกพับได้ เปิดข้างด้านยาว
C011500009,5336LID-L สีใส ลังพลาสติกพับได้ พร้อมฝา เปิดข้างด้านยาว
C011300029,6544-L สีใส ลังพลาสติกพับได้ เปิดข้างด้านยาว
C011500005,6544LID-L สีใส ลังพลาสติกพับได้ พร้อมฝา เปิดข้างด้านยาว
C011300031,5336-S สีใส ลังพลาสติกพับได้ เปิดข้างด้านกว้าง
C011500006,5336LID-S สีใส ลังพลาสติกพับได้พร้อมฝา เปิดข้างด้านกว้าง
C011300026,6544-S สีใส ลังพลาสติกพับได้ เปิดข้างด้านกว้าง
C011500008,6544LID-S สีใส ลังพลาสติกพับได้ พร้อมฝา เปิดข้างด้านกว้าง
C010800093,8218 สีน้ำเงิน ลังโปร่ง
C010800094,8218 สีเขียว ลังโปร่ง
C010800089,8076 สีน้ำเงิน ลังโปร่ง
C010800098,8241 สีน้ำเงิน ลังโปร่ง
C010800017,025 สีน้ำเงิน ลังโปร่ง
C010800018,025 สีเขียว ลังโปร่ง
C010800019,025 สีแดง ลังโปร่ง
C010800054,2540 สีแดง ลังโปร่ง
C010800052,2540 สีน้ำเงิน ลังโปร่ง
C010800053,2540 สีเขียว ลังโปร่ง
C010800055,2540 สีเหลือง ลังโปร่ง
C010800033,1028 สีแดง ลังโปร่ง
C010800031,1028 สีน้ำเงิน ลังโปร่ง
C010800032,1028 สีเขียว ลังโปร่ง
C010800034,1028 สีเหลือง ลังโปร่ง
C010200051,120 สีน้ำเงิน ลังทึบ
C010200102,8078 สีน้ำเงิน ลังทึบ
C010200111,8217 สีน้ำเงิน ลังทึบ
C010200112,8217 สีเขียว ลังทึบ
C010200117,995 สีแดง ลังทึบ
C010200115,995 สีน้ำเงิน ลังทึบ
C010200116,995 สีเขียว ลังทึบ
C010200118,995 สีเหลือง ลังทึบ
C010200097,8056 สีน้ำเงิน ลังทึบ
C010200077,2553 สีแดง ลังทึบ
C010200075,2553 สีน้ำเงิน ลังทึบ
C010200076,2553 สีเขียว ลังทึบ
C010200078,2553 สีเหลือง ลังทึบ
C010300021,2553L สีแดง ฝาลัง
C010300019,2553L สีน้ำเงิน ฝาลัง
C010300020,2553L สีเขียว ฝาลัง
C010300022,2553L สีเหลือง ฝาลัง
C010400015,2553+2553L สีแดง ลังทึบพร้อมฝา
C010400013,2553+2553L สีน้ำเงิน ลังทึบพร้อมฝา
C010400014,2553+2553L สีเขียว ลังทึบพร้อมฝา
C010400016,2553+2553L สีเหลือง ลังทึบพร้อมฝา
C010200034,1118 สีแดง ลังทึบ
C010200032,1118 สีน้ำเงิน ลังทึบ
C010200033,1118 สีเขียว ลังทึบ
C010200035,1118 สีเหลือง ลังทึบ
C010300009,1118L สีแดง ฝาลัง
C010300007,1118L สีน้ำเงิน ฝาลัง
C010300008,1118L สีเขียว ฝาลัง
C010300011,1118L สีเหลือง ฝาลัง
C010400007,1118+1118L สีแดง ลังทึบพร้อมฝา
C010400005,1118+1118L สีน้ำเงิน ลังทึบพร้อมฝา
C010400006,1118+1118L สีเขียว ลังทึบพร้อมฝา
C010400008,1118+1118L สีเหลือง ลังทึบพร้อมฝา
C010200083,2555 สีแดง ลังทึบ
C010200081,2555 สีน้ำเงิน ลังทึบ
C010200082,2555 สีเขียว ลังทึบ
C010200084,2555 สีเหลือง ลังทึบ
C010300026,2555L สีแดง ฝาลัง
C010300023,2555L สีน้ำเงิน ฝาลัง
C010300024,2555L สีเขียว ฝาลัง
C010300027,2555L สีเหลือง ฝาลัง
C010400019,2555+2555L สีแดง ลังทึบพร้อมฝา
C010400017,2555+2555L สีน้ำเงิน ลังทึบพร้อมฝา
C010400018,2555+2555L สีเขียว ลังทึบพร้อมฝา
C010400020,2555+2555L สีเหลือง ลังทึบพร้อมฝา
C010200021,1026 สีแดง ลังทึบ
C010200019,1026 สีน้ำเงิน ลังทึบ
C010200020,1026 สีเขียว ลังทึบ
C010200022,1026 สีเหลือง ลังทึบ
C010300005,1026L สีแดง ฝาลัง
C010300003,1026L สีน้ำเงิน ฝาลัง
C010300004,1026L สีเขียว ฝาลัง
C010300006,1026L สีเหลือง ฝาลัง
C010400003,1026+1026L สีแดง ลังทึบพร้อมฝา
C010400001,1026+1026L สีน้ำเงิน ลังทึบพร้อมฝา
C010400002,1026+1026L สีเขียว ลังทึบพร้อมฝา
C010400004,1026+1026L สีเหลือง ลังทึบพร้อมฝา
C010200042,116 สีน้ำเงิน ลังทึบ
C010200092,8021 สีน้ำเงิน ลังทึบ
C010200069,2546 สีแดง  ลังทึบ
C010200067,2546 สีน้ำเงิน ลังทึบ
C010200068,2546 สีเขียว ลังทึบ
C010200070,2546 สีเหลือง ลังทึบ
C010200130,B2 สีแดง ลังทึบ
C010200128,B2 สีน้ำเงิน ลังทึบ
C010200129,B2 สีเขียว ลังทึบ
C010200131,B2 สีเหลือง ลังทึบ
C010300036,B2L สีแดง ฝาลัง
C010300033,B2L สีน้ำเงิน ฝาลัง
C010300034,B2L สีเขียว ฝาลัง
C010300037,B2L สีเหลือง ฝาลัง
C010400031,B2+B2L สีแดง ลังทึบพร้อมฝา
C010400029,B2+B2L สีน้ำเงิน ลังทึบพร้อมฝา
C010400030,B2+B2L สีเขียว ลังทึบพร้อมฝา
C010400032,B2+B2L สีเหลือง ลังทึบพร้อมฝา
C010200065,2541 สีแดง ลังทึบ
C010200063,2541 สีน้ำเงิน ลังทึบ
C010200064,2541 สีเขียว ลังทึบ
C010200066,2541 สีเหลือง ลังทึบ
C010300014,2541L สีแดง ฝาลัง
C010300012,2541L สีน้ำเงิน ฝาลัง
C010300013,2541L สีเขียว ฝาลัง
C010300015,2541L สีเหลือง ฝาลัง
C010400011,2541+2541L สีแดง ลังทึบพร้อมฝา
C010400009,2541+2541L สีน้ำเงิน ลังทึบพร้อมฝา
C010400010,2541+2541L สีเขียว ลังทึบพร้อมฝา
C010400012,2541+2541L สีเหลือง ลังทึบพร้อมฝา
C010200073,2550 สีแดง ลังทึบ
C010200071,2550 สีน้ำเงิน ลังทึบ
C010200072,2550 สีเขียว ลังทึบ
C010200074,2550 สีเหลือง ลังทึบ
C010200107,8090 สีน้ำเงิน ลังทึบ
C010200108,8090 สีเขียว ลังทึบ
C010200088,2558 สีแดง ลังทึบ
C010200086,2558 สีน้ำเงิน ลังทึบ
C010200087,2558  สีเขียว ลังทึบ
C010200089,2558 สีเหลือง ลังทึบ
C010200200,B3 สีแดง ลังทึบ
C010200179,B3 สีน้ำเงิน ลังทึบ
C010200201,B3 สีเขียว ลังทึบ
C010200202,B3 สีเหลือง ลังทึบ
C011200081,B3+2551L สีแดง ลังชุดพร้อมฝา
C011200082,B3+2551L สีน้ำเงิน ลังชุดพร้อมฝา
C011200083,B3+2551L สีเขียว ลังชุดพร้อมฝา
C011200084,B3+2551L สีเหลือง ลังชุดพร้อมฝา
C010200121,B1 สีแดง ลังทึบ
C010200119,B1 สีน้ำเงิน ลังทึบ
C010200120,B1 สีเขียว ลังทึบ
C010200122,B1 สีเหลือง ลังทึบ
C010300031,B1L สีแดง ฝาลัง
C010300029,B1L สีน้ำเงิน ฝาลัง
C010300030,B1L สีเขียว ฝาลัง
C010300032,B1L สีเหลือง ฝาลัง
C010400027,B1+B1L สีแดง ลังทึบพร้อมฝา
C010400021,B1+B1L สีน้ำเงิน ลังทึบพร้อมฝา
C010400022,B1+B1L สีเขียว ลังทึบพร้อมฝา
C010400028,B1+B1L สีเหลือง ลังทึบพร้อมฝา
C010200125,B1H สีแดง ลังทึบ มีช่องมือจับ
C010200123,B1H สีน้ำเงิน ลังทึบ มีช่องมือจับ
C010200124,B1H สีเขียว ลังทึบ มีช่องมือจับ
C010200126,B1H สีเหลือง ลังทึบ มีช่องมือจับ
C010400025,B1H+B1L สีแดง ลังทึบมือจับทะลุพร้อมฝา
C010400023,B1H+B1L สีน้ำเงิน ลังทึบมือจับทะลุพร้อมฝา
C010400024,B1H+B1L สีเขียว ลังทึบมือจับทะลุพร้อมฝา
C010400026,B1H+B1L สีเหลือง ลังทึบมือจับทะลุพร้อมฝา
C010800075,C048 สีแดง ลังท็อปเล็ก
C010800076,C048 สีน้ำเงิน ลังท็อปเล็ก
C010800077,C048 สีเขียว ลังท็อปเล็ก
C010800078,C048 สีเหลือง ลังท็อปเล็ก
C010800127,2561-1 สีแดง ลังท็อปเล็ก เกรด A ห้องเย็น HDPE (ควบคุมน้ำหนัก)
C010800165,2561-1 สีน้ำเงิน ลังท็อปเล็ก เกรด A ห้องเย็น HDPE (ควบคุมน้ำหนัก)
C010800166,2561-1 สีเขียว ลังท็อปเล็ก เกรด A ห้องเย็น HDPE (ควบคุมน้ำหนัก)
C010800167,2561-1 สีเหลือง ลังท็อปเล็ก เกรด A ห้องเย็น HDPE (ควบคุมน้ำหนัก)
C020100026,CS033 สีแดง ถาดโปร่ง
C020100027,CS033 สีน้ำเงิน ถาดโปร่ง
C020100028,CS033 สีเขียว ถาดโปร่ง
C020100029,CS033 สีเหลือง ถาดโปร่ง
C010800110,C049 สีแดง ลังท็อปใหญ่
C010800108,C049 สีน้ำเงิน ลังท็อปใหญ่
C010800109,C049 สีเขียว ลังท็อปใหญ่
C010800111,C049 สีเหลือง ลังท็อปใหญ่
C010800072,2561 สีแดง ลังท็อปใหญ่ เกรด A ห้องเย็น HDPE (ควบคุมน้ำหนัก)
C010800070,2561 สีน้ำเงิน ลังท็อปใหญ่ เกรด A ห้องเย็น HDPE (ควบคุมน้ำหนัก)
C010800071,2561 สีเขียว ลังท็อปใหญ่ เกรด A ห้องเย็น HDPE (ควบคุมน้ำหนัก)
C010800131,2561 สีเหลือง ลังท็อปใหญ่ เกรด A ห้องเย็น HDPE (ควบคุมน้ำหนัก)
C020200001,100 สีน้ำเงิน ถาดทึบ
C020200024,CS032 สีแดง ถาดทึบ
C020200022,CS032 สีน้ำเงิน ถาดทึบ
C020200023,CS032 สีเขียวเข้ม ถาดทึบ
C020200025,CS032 สีเหลือง ถาดทึบ
C020200017,8222 สีน้ำเงิน ถาดทึบ HDPE
C020200009,104 สีน้ำเงิน ถาดทึบ
C070100020,SLP-14 สีน้ำเงิน กระบะสี่เหลี่ยม บรรจุน้ำและสารเคมี ตราดอกบัว
C070100021,SLP-28 สีน้ำเงิน กระบะสี่เหลี่ยม บรรจุน้ำและสารเคมี ตราดอกบัว
C070100022,SLP-150 สีน้ำเงิน กระบะสี่เหลี่ยม บรรจุน้ำและสารเคมี ตราดอกบัว
C010200203,2562 สีแดง ลังทึบสวมได้ซ้อนได้
C010200204,2562 สีน้ำเงิน ลังทึบสวมได้ซ้อนได้
C010200205,2562 สีเขียว ลังทึบสวมได้ซ้อนได้
C010200206,2562 สีเหลือง ลังทึบสวมได้ซ้อนได้
C010200028,105 สีแดง ลังทึบ สวมได้ซ้อนได้
C010200026,105 สีน้ำเงิน ลังทึบ สวมได้ซ้อนได้
C010200027,105 สีเขียว ลังทึบ สวมได้ซ้อนได้
C010200031,105 สีเหลือง ลังทึบ สวมได้ซ้อนได้
C010100024,2557 สีแดง ลังหูเหล็กโปร่ง
C010100020,2557 สีน้ำเงิน ลังหูเหล็กโปร่ง
C010100021,2557 สีเขียว ลังหูเหล็กโปร่ง
C010100025,2557 สีเหลือง ลังหูเหล็กโปร่ง
C010100013,2542 สีแดง ลังหูเหล็กโปร่ง
C010100010,2542 สีน้ำเงิน ลังหูเหล็กโปร่ง
C010100011,2542 สีเขียว ลังหูเหล็กโปร่ง
C010100014,2542 สีเหลือง ลังหูเหล็กโปร่ง
C011000093,2559 สีน้ำเงิน ลังชุด
C011000097,2560 สีน้ำเงิน ลังชุด
C011000114,8070 สีน้ำเงิน ลังชุด
C011200029,8070+8069L สีน้ำเงิน ลังชุดพร้อมฝา
C011000122,8072 สีน้ำเงิน ลังชุด
C011200033,8072+8069L สีน้ำเงิน  ลังชุดพร้อมฝา
C011000078,2545 สีน้ำเงิน ลังชุด
C011200043,2545+2551L สีน้ำเงิน ลังชุดพร้อมฝา
C011000091,2554 สีแดง ลังชุด
C011000088,2554 สีน้ำเงิน ลังชุด
C011000089,2554 สีเขียว ลังชุด
C011000092,2554 สีเหลือง ลังชุด
C011200046,2554+2551L สีแดง ลังชุดพร้อมฝา
C011200047,2554+2551L สีน้ำเงิน ลังชุดพร้อมฝา
C011200048,2554+2551L สีเขียว ลังชุดพร้อมฝา
C011200049,2554+2551L สีเหลือง ลังชุดพร้อมฝา
C011000084,2551 สีน้ำเงิน ลังชุด
C011000085,2551 สีเขียว ลังชุด
C011000087,2551 สีเหลือง ลังชุด
C011100032,2551L สีแดง ฝาลัง
C011100033,2551L สีน้ำเงิน ฝาลัง
C011100034,2551L สีเขียว ฝาลัง
C011100035,2551L สีเหลือง ฝาลัง
C011200039,2551+2551L สีน้ำเงิน ลังชุดพร้อมฝา
C011200040,2551+2551L สีเขียว ลังชุดพร้อมฝา
C011200041,2551+2551L สีเหลือง ลังชุดพร้อมฝา
C011000105,8067 สีน้ำเงิน ลังชุด
C011200026,8067+8069L สีน้ำเงิน ลังชุดพร้อมฝา
C011000101,8029 สีน้ำเงิน ลังชุด
C011200027,8029+8069L สีน้ำเงิน ลังชุดพร้อมฝา
C011000110,8069 สีน้ำเงิน ลังชุด
C011100019,8069L สีน้ำเงิน ฝาลัง
C011200023,8069+8069L สีน้ำเงิน ลังชุดพร้อมฝา
C011000118,8071 สีน้ำเงิน ลังชุด
C011200030,8071+8069L สีน้ำเงิน ลังชุดพร้อมฝา
C011000126,8261 สีน้ำเงิน ลังชุด
C011100023,8261L สีน้ำเงิน ฝาลัง
C011200034,8261+8261L สีน้ำเงิน ลังชุดพร้อมฝา
C011000130,8262 สีน้ำเงิน ลังชุด
C011200035,8262+8261L สีน้ำเงิน ลังชุดพร้อมฝา
C011000134,8263 สีน้ำเงิน ลังชุด
C011000135,8263 สีเขียว ลังชุด
C011100028,8263L สีน้ำเงิน ฝาลัง
C011100029,8263L สีเขียว ฝาลัง
C011200037,8263+8263L สีน้ำเงิน ลังชุดพร้อมฝา
C011000138,8264 สีน้ำเงิน ลังชุด
C011200038,8264+8263L สีน้ำเงิน ลังชุดพร้อมฝา
C011000074,1031 สีแดง ลังชุด
C011000064,1031 สีน้ำเงิน ลังชุด
C011000066,1031 สีเขียว ลังชุด
C011000076,1031 สีเหลือง ลังชุด
C011100011,1031L สีแดง ฝาลัง
C011100012,1031L สีน้ำเงิน ฝาลัง
C011100013,1031L สีเขียว ฝาลัง
C011100014,1031L สีเหลือง ฝาลัง
C011200074,1031+1031L สีแดง ลังชุดพร้อมฝา
C011200009,1031+1031L สีน้ำเงิน ลังชุดพร้อมฝา
C011200075,1031+1031L สีเขียว ลังชุดพร้อมฝา
C011200076,1031+1031L สีเหลือง ลังชุดพร้อมฝา
C011000062,998 สีแดง ลังชุด
C011000060,998 สีน้ำเงิน ลังชุด
C011000061,998 สีเขียว ลังชุด
C011000063,998 สีเหลือง ลังชุด
C011200014,998+1031L สีแดง ลังชุดพร้อมฝา
C011200015,998+1031L สีน้ำเงิน ลังชุดพร้อมฝา
C011200016,998+1031L สีเขียว ลังชุดพร้อมฝา
C011200017,998+1031L สีเหลือง ลังชุดพร้อมฝา
C010200195,998-1 สีแดง ลังทึบ PP
C010200198,998-1 สีน้ำเงิน ลังทึบ PP
C010200194,998-1 สีเขียว ลังทึบ PP
C010200199,998-1 สีเหลือง ลังทึบ PP
C011200085,998-1+1031L สีแดง ลังชุดพร้อมฝา PP
C011200086,998-1+1031L สีน้ำเงิน ลังชุดพร้อมฝา PP
C011200087,998-1+1031L สีเขียว ลังชุดพร้อมฝา PP
C011200088,998-1+1031L สีเหลือง ลังชุดพร้อมฝา PP
C011000176,996 สีแดง ลังชุด
C011000052,996 สีน้ำเงิน ลังชุด
C011000053,996 สีเขียว ลังชุด
C011000054,996 สีเหลือง ลังชุด
C011100015,996L สีแดง ฝาลัง
C011100016,996L สีน้ำเงิน ฝาลัง
C011100017,996L สีเขียว ฝาลัง
C011100018,996L สีเหลือง ฝาลัง
C011200077,996+996L สีแดง ลังชุดพร้อมฝา
C011200078,996+996L สีน้ำเงิน ลังชุดพร้อมฝา
C011200079,996+996L สีเขียว ลังชุดพร้อมฝา
C011200080,996+996L สีเหลือง ลังชุดพร้อมฝา
C011000057,997 สีแดง ลังชุด
C011000055,997 สีน้ำเงิน ลังชุด
C011000056,997 สีเขียว ลังชุด
C011000059,997 สีเหลือง ลังชุด
C011200018,997+996L สีแดง ลังชุดพร้อมฝา
C011200019,997+996L สีน้ำเงิน ลังชุดพร้อมฝา
C011200020,997+996L สีเขียว ลังชุดพร้อมฝา
C011200021,997+996L สีเหลือง ลังชุดพร้อมฝา
C019800001,CHD-1 ป้ายชื่อพลาสติก ขนาด 175x67 มม.
C019800002,CHD-3 ป้ายชื่อพลาสติก ขนาด 95x70 มม.
C019800003,CHD-5 ป้ายชื่อพลาสติก ขนาด 120x80 มม.
C019800004,CHD-8 ป้ายชื่อพลาสติก ขนาด 165x70 มม.
C050100037,1800M5  สีขาว ตู้ลิ้นชักพลาสติก 5 ชั้น
C050100005,2525 สีขาว ตู้ลิ้นชักพลาสติก 5 ชั้น
C050100006,2525 สีฟ้าใส ตู้ลิ้นชักพลาสติก 5 ชั้น
C050100012,2525 ตู้ลิ้นชักพลาสติก 5 ชั้น โครงสีขาวใส ลิ้นชักคละสีใส
C050100022,2525 ตู้ลิ้นชักพลาสติก 5  ชั้น โครงสีขาวใส ลิ้นชักสีขาวใส ติดล้อ
C050100023,2525 ตู้ลิ้นชักพลาสติก 5 ชั้น  โครงสีขาวใส ลิ้นชักสีฟ้าใส ติดล้อ
C050100024,2525 ตู้ลิ้นชักพลาสติก 5 ชั้น โครงสีขาวใส ลิ้นชักคละสีใส  ติดล้อ
C050100003,2524 สีขาว ตู้ลิ้นชักพลาสติก 4 ชั้น
C050100004,2524 สีฟ้าใส ตู้ลิ้นชักพลาสติก 4 ชั้น
C050100011,2524 ตู้ลิ้นชักพลาสติก 4  ชั้น โครงสีขาวใส ลิ้นชักคละสีใส
C050100019,2524 ตู้ลิ้นชักพลาสติก 4  ชั้น โครงสีขาวใส ลิ้นชักสีขาวใส ติดล้อ
C050100020,2524 ตู้ลิ้นชักพลาสติก 4  ชั้น โครงสีขาวใส ลิ้นชักสีฟ้าใส  ติดล้อ
C050100021,2524 ตู้ลิ้นชักพลาสติก 4  ชั้น โครงสีขาวใส ลิ้นชักคละสีใส ติดล้อ
C050100001,2523 สีขาว ตู้ลิ้นชักพลาสติก 3 ชั้น
C050100002,2523 สีฟ้าใส ตู้ลิ้นชักพลาสติก 3 ชั้น
C050100007,2523 ตู้ลิ้นชักพลาสติก 3 ชั้น โครงสีขาวใส ลิ้นชักคละสีใส
C050100013,2523 ตู้ลิ้นชักพลาสติก 3 ชั้น  โครงสีขาวใส ลิ้นชักสีขาวใส ติดล้อ
C050100014,2523 ตู้ลิ้นชักพลาสติก 3 ชั้น  โครงสีขาวใส ลิ้นชักสีฟ้าใส ติดล้อ
C050100015,2523 ตู้ลิ้นชักพลาสติก 3 ชั้น  โครงสีขาวใส ลิ้นชักคละสีใส ติดล้อ
C050100008,2533 ตู้ลิ้นชักพลาสติก 3 ชั้น โครงสีขาวใส ลิ้นชักสีขาวใส
C050100009,2533 ตู้ลิ้นชักพลาสติก 3 ชั้น โครงสีขาวใส ลิ้นชักสีฟ้าใส
C050100010,2533 ตู้ลิ้นชักพลาสติก 3 ชั้น โครงสีขาวใส ลิ้นชักคละสีใส
C050100016,2533 ตู้ลิ้นชักพลาสติก 3 ชั้น โครงสีขาวใส ลิ้นชักสีขาวใส  ติดล้อ
C050100017,2533 ตู้ลิ้นชักพลาสติก 3 ชั้น  โครงสีขาวใส ลิ้นชักสีฟ้าใส ติดล้อ
C050100018,2533 ตู้ลิ้นชักพลาสติก 3 ชั้น  โครงสีขาวใส ลิ้นชักคละสีใส ติดล้อ
C040100085,2444 สีใส กล่องพลาสติกพร้อมฝาสีขาว มีล้อ 35.5 ลิตร
C040100086,2445 สีใส กล่องพลาสติกพร้อมฝาสีขาว มีล้อ 66 ลิตร
C040100093,4000S สีใส กล่องพลาสติกพร้อมฝาสีขาว มีล้อ 31 ลิตร
C040100094,4000M สีใส กล่องพลาสติกพร้อมฝาสีขาว มีล้อ 48 ลิตร
C040100095,4000L สีใส กล่องพลาสติกพร้อมฝาสีขาว มีล้อ 75 ลิตร
C040100096,4000XL สีใส กล่องพลาสติกพร้อมฝาสีขาว มีล้อ 114 ลิตร
C040100077,2000 สีใส กล่องพลาสติกพร้อมฝาสีฟ้า มีล้อ 42 ลิตร
C040100078,2007 สีใส กล่องพลาสติกพร้อมฝาสีน้ำเงิน มีล้อ 100 ลิตร
C040100079,2009 สีใส กล่องพลาสติกพร้อมฝาสีน้ำเงิน มีล้อ 70.5 ลิตร
C040100080,2010 สีใส กล่องพลาสติกพร้อมฝาสีน้ำเงิน มีล้อ 120 ลิตร
C040100082,2012A สีใส กล่องพลาสติกพร้อมฝาสีขาว 16.5 ลิตร
C040100084,2012B สีใส กล่องพลาสติกพร้อมฝาสีขาว 36 ลิตร
C040100075,PN0338 สีใส กล่องพลาสติกพร้อมฝาสีขาว 7 ลิตร
C040100076,PN0339 สีใส กล่องพลาสติกพร้อมฝาสีขาว 12.5 ลิตร
C040100006,2549 สีชมพู กล่องใส่ของพร้อมฝา แบบใส 25.5 ลิตร
C040100007,2549 สีเขียวอ่อน กล่องใส่ของพร้อมฝา แบบใส 25.5 ลิตร
C040100008,2549 สีฟ้า กล่องใส่ของพร้อมฝา แบบใส 25.5 ลิตร
C040100009,2548 สีชมพู กล่องใส่ของพร้อมฝา แบบใส 44 ลิตร
C040100010,2548 สีเขียวอ่อน กล่องใส่ของพร้อมฝา แบบใส 44 ลิตร
C040100011,2548 สีฟ้า กล่องใส่ของพร้อมฝา แบบใส 44 ลิตร
C040100012,2552 สีชมพู กล่องใส่ของพร้อมฝา แบบใส 77 ลิตร
C040100013,2552 สีเขียวอ่อน กล่องใส่ของพร้อมฝา แบบใส 77 ลิตร
C040100014,2552 สีฟ้า กล่องใส่ของพร้อมฝา แบบใส 77 ลิตร
C040100015,5111 สีขาว กล่องพลาสติกพร้อมฝา แบบตัวใสฝาทึบ 15 ลิตร
C040100016,5111 สีฟ้าทึบ กล่องพลาสติกพร้อมฝา แบบตัวใสฝาทึบ 15 ลิตร
C040100017,5112 สีขาว กล่องพลาสติกพร้อมฝา แบบตัวใสฝาทึบ 25 ลิตร
C040100018,5112 สีฟ้าทึบ กล่องพลาสติกพร้อมฝา แบบตัวใสฝาทึบ 25 ลิตร
C040100020,5118 สีขาว กล่องพลาสติกพร้อมฝา แบบตัวใสฝาทึบ 30 ลิตร
C040100019,5118 สีฟ้าใส กล่องพลาสติกพร้อมฝา แบบตัวใสฝาทึบ 30 ลิตร
C040100021,5113 สีขาว กล่องพลาสติกพร้อมฝา แบบตัวใสฝาทึบ 45 ลิตร
C040100022,5113 สีฟ้าทึบ กล่องพลาสติกพร้อมฝา แบบตัวใสฝาทึบ 45 ลิตร
C040100023,5114 สีขาว กล่องพลาสติกพร้อมฝา แบบตัวใสฝาทึบ 75 ลิตร
C040100024,5114 สีฟ้าทึบ กล่องพลาสติกพร้อมฝา แบบตัวใสฝาทึบ 75 ลิตร
C040100025,5115 สีขาว กล่องพลาสติกพร้อมฝา แบบตัวใสฝาทึบ 85 ลิตร
C040100026,5115 สีฟ้าทึบ กล่องพลาสติกพร้อมฝา แบบตัวใสฝาทึบ 85 ลิตร
C040100052,5121 กล่องพลาสติก พร้อมฝาสีขาว 6 ลิตร
C040100053,5121 กล่องพลาสติก พร้อมฝาสีเขียว 6 ลิตร
C040100054,5121 กล่องพลาสติก พร้อมฝาสีฟ้า 6 ลิตร
C040100055,5121 กล่องพลาสติก พร้อมฝาสีชมพู 6 ลิตร
C040100057,5122 กล่องพลาสติก พร้อมฝาสีขาว 10.5 ลิตร
C040100058,5122 กล่องพลาสติก พร้อมฝาสีเขียว 10.5 ลิตร
C040100059,5122 กล่องพลาสติก พร้อมฝาสีฟ้า 10.5 ลิตร
C040100060,5122 กล่องพลาสติก พร้อมฝาสีชมพู 10.5 ลิตร
C040100062,5123 กล่องพลาสติก พร้อมฝาสีขาว 20.5 ลิตร
C040100063,5123 กล่องพลาสติก พร้อมฝาสีเขียว 20.5 ลิตร
C040100064,5123 กล่องพลาสติก พร้อมฝาสีฟ้า 20.5 ลิตร
C040100065,5123 กล่องพลาสติก พร้อมฝาสีชมพู 20.5 ลิตร
C040100001,6651 กล่องพลาสติกพร้อมฝา แบบใสทั้งตัวและฝา 10 ลิตร
C040100002,6652 กล่องพลาสติกพร้อมฝา แบบใสทั้งตัวและฝา 24 ลิตร
C040100003,6653 กล่องพลาสติกพร้อมฝา แบบใสทั้งตัวและฝา 40 ลิตร
C040100004,6654 กล่องพลาสติกพร้อมฝา แบบใสทั้งตัวและฝา มีล้อ 62 ลิตร
C040100005,6655 กล่องพลาสติกพร้อมฝา แบบใสทั้งตัวและฝา มีล้อ 110 ลิตร
C040200005,66+A ลังพลาสติกพร้อมฝา แบบใสทั้งตัวและฝา
C040200010,77+A ลังพลาสติกพร้อมฝา แบบใสทั้งตัวและฝา
C040100069,PN3410 สีใส กล่องพลาสติกพร้อมฝา 20 ลิตร
C040100070,PN3410 สีใส กล่องพลาสติกพร้อมฝาสีเทา 20 ลิตร
C040100071,PN3411 สีใส กล่องพลาสติกพร้อมฝา 33 ลิตร
C040100072,PN3411 สีใส กล่องพลาสติกพร้อมฝาสีเทา 33 ลิตร
C040100073,PN3412 สีใส กล่องพลาสติกพร้อมฝา 52 ลิตร
C040100074,PN3412 สีใส กล่องพลาสติกพร้อมฝาสีเทา 52 ลิตร
C040100099,5222 สีขาว กล่องพลาสติกพร้อมฝาปิดสีขาว 14 ลิตร - JCJ
C040110001,5223 สีขาว กล่องพลาสติกพร้อมฝาสีขาว มีล้อ 28 ลิตร - JCJ
C040110002,5224 สีขาว กล่องพลาสติกพร้อมฝาสีขาว มีล้อ 28 ลิตร - JCJ
C040100098,5225 สีขาว กล่องพลาสติกพร้อมฝาสีขาว มีล้อ 60 ลิตร -JCJ
C040100100,55225 สีขาว ชุดกล่องพลาสติกพร้อมฝาปิดสีขาว 5 ใบ- JCJ
C040200002,66+A สีฟ้า ลังพลาสติกแบบมีฝาปิด แบบทึบ
C040200003,66+A สีชมพู ลังพลาสติกแบบมีฝาปิด  แบบทึบ
